iter	Logloss
0	0.689567692
1	0.6855896715
2	0.6819334202
3	0.677772965
4	0.6735961786
5	0.6698660455
6	0.6664994058
7	0.6626122083
8	0.6589535125
9	0.6562932188
10	0.6525982884
11	0.6491206083
12	0.6464481925
13	0.64351265
14	0.6404263208
15	0.6376898806
16	0.6340876761
17	0.6309159675
18	0.6288299686
19	0.6262831981
20	0.6233649754
21	0.6208993377
22	0.6176956804
23	0.6149485177
24	0.6121958267
25	0.6096620494
26	0.6066920547
27	0.6044600362
28	0.6017046518
29	0.5989317034
30	0.5967931116
31	0.5946594748
32	0.5924201108
33	0.5896497445
34	0.5867681413
35	0.5841649362
36	0.5823671563
37	0.5799473303
38	0.5777176713
39	0.5755526152
40	0.5735855158
41	0.5714569241
42	0.5692813514
43	0.5674975167
44	0.565412528
45	0.5630567549
46	0.5608596423
47	0.5588396589
48	0.5567262705
49	0.5548403015
50	0.5526804627
51	0.5505615714
52	0.5487061741
53	0.5468507952
54	0.544854095
55	0.5429210669
56	0.5408781568
57	0.5386446071
58	0.5369132133
59	0.5352685921
60	0.5338308869
61	0.5324930101
62	0.5309816757
63	0.5291899758
64	0.5275390508
65	0.5257548578
66	0.5239416351
67	0.5221827682
68	0.5208134662
69	0.5194163762
70	0.5178332662
71	0.5160911471
72	0.5149588246
73	0.5132924356
74	0.5121605004
75	0.5105396867
76	0.5090660493
77	0.5075178829
78	0.5062449563
79	0.5050244062
80	0.5036657635
81	0.5023332721
82	0.5010578694
83	0.499808512
84	0.4986204471
85	0.4972041157
86	0.4959300527
87	0.4944513482
88	0.4932365657
89	0.4921145291
90	0.4907376649
91	0.4892433692
92	0.4880622237
93	0.4867576776
94	0.4854326317
95	0.4842209086
96	0.4832543757
97	0.4819911142
98	0.4807649185
99	0.4795005637
100	0.4785473758
101	0.47724881102102	0.47609785103	0.4645444587
104104	0.4738718285
105	0.47284332106106	0.47188793107	0.4596899079
108	0.4585330891
109	0.4573624158
110	0.4562485118
111	0.4552672425
112	0.4542860952
113	0.4532165719
114	0.4519937077
115	0.4512885176
116	0.4501745942
117	0.4493487759
118	0.4483842007
119	0.4475220087
120	0.4464594794
121	0.4456474715
122	0.444622144
123	0.4437783997
124	0.4426026141
125	0.4416150222
126	0.4407203643
127	0.4399347602
128	0.438784747
129	0.4376391514
130	0.4367051385
131	0.4357499863
132	0.4348760749
133	0.4341320395
134	0.4334798451
135	0.4328347419
136	0.4321253175
137137	0138	0.442138138	0139	0.4415189717
140	0.4406217685
141	0.4396786533
142	0.4387423654
143	0.4382602625
144	0.4375726385
145	0.4368381014
146	0.4361666747
147	0.4353552559
148	0.4347888519
149	0.4339749255
150	0.4332486362
151	0.4324795599
152	0.4316638127
153	0.4310626623
154	0.4303363394
155	0.4296253507
156	0.4290065852
157	0.4282920676
158	0.4273803427
159	0.4266571362
160	0.4259664591
161	0.425112985
162	0.4245562428
163	0.423590222
164	0.4228182191
165	0.4221223013
166	0.4215354753
167	0.4207713786
168	0.4197254759
169	0.4190947627
170	0.4183798944
171	0.4177027669
172	0.417033747
173	0.4164844599
174	0.4157844599
175	0.4153950352
176	0.4149278114
177	0.4143895824
178	0.4134615696
179	0.4129350295
180	0.4123046539
181	0.4116046298
182	0.4109442202
183	0.4103094614
184	0.4094683315
185	0.408887094
186	0.4081723309
187	0.4075018352
188	0.4068289649
189	0.4062004941
190	0.4056681128
191	0.4051022885
192	0.4044479627
193	0.403793976
194	0.4033837729
195	0.4030806405
196	0.4026261647
197	0.4022174996
198	0.4014358311
199	0.4008473504
200	0.4001700638
201	0.3996913419
202	0.3991131708
203	0.3986600901
204	0.3982078204	0.3674579502
205	0.3670175049
206	0.3664266286
207	0.3655206193
208	209	0.3956912209	210	0.3950002895
211	0.394665211	0212	0.394115212	213	0.3937120213	214	0.3933702214	0.3793216234
215216	0.39228309216	0.3782006253
217	0.3773944377
218	0.3769690868
219	0.376222764
220	221	0.3898862893
222	0.3894381824
223	0.3890358539
224	0.3885927735
225	0.3880506225	226	0.3876010226	0.3729666843
227228	0.38661302228229	0.38608149229230	0.38550360230	0.3708480906
231	0.370162055
232	233	0.3840943233	234	0.3836821234	235	0.3833543235	236	0.3829604236237	0.3824573089
238	0.38197300238239	0.3814967029
240	0.3812020124241	0.38082839241242	0.3804083543
243	0.379848243	0244	0.379564244	0245	0.378991245	0246	0.378399246	0247	0.378024247	0248	0.37781248	0.249	0.37763249	0.250	0.3770651979
251	0.37658251	0.252	0.3762577768
253	0.3759705554
254	0.37564254	0255	0.3751729652
256	0.3747889375
257	0.3744816815
258	0.3741341205
259	0.3735580702
260	0.3729900272
261	0.3724790298
262	0.372126936
263	0.3718756968
264	0.3713878215
265	0.3710937956
266	0.3706874098
267	0.3705706554
268	0.370378268	0.3528963203
269	0.3523818922
270	0.3518123272
271	0.3514571194
272	0.35120582
273	0.35089227
274	0.3505861706
275	0.3501035192
276	0.3497717081
277	0.3493158024
278	0.3490690135
279	0.3485618541
280	0.348121804
281	0.3478541814
282	0.3475620695
283	0.3471874194
284	0.346754236
285	0.3463905406
286	0.3459462329
287	0.3454035745
288	0.3449470873
289	0.344521015
290	0.3440420691
291	0.3437437331
292	0.3434233029
293	0.342926394
294	0.3423896238
295	0.3421347357
296	0.3418187206
297	0.3412151599
298	0.3407018338
299	0.3402327827
300	0.3398063446
301	0.3392932225
302	0.3389532947
303	0.3384855213
304	0.3382382249
305	0.3379590391
306	0.3374939907
307	0.3371261504
308	0.336765013
309	0.3363734322
310	0.3361119529
311	0.3357907757
312	0.3354755636
313	0.3351095669
314	0.3346754477
315	0.3343190049
316	0.3338659583
317	0.3332508193
318	0.332624387
319	0.3323161126
320	0.3319948673
321	0.331683517
322	0.3314117854
323	0.3312793964
324	0.3309452427
325	0.3304317243
326	0.3301328291
327	0.329749588
328	0.3293676447
329	0.3291875254
330	0.3289369272
331	0.3284173924
332	0.327791805
