iter	Passed	Remaining
0	64	64375
1	70	35084
2	77	25654
3	83	20864
4	108	21492
5	119	19714
6	125	17772
7	133	16553
8	139	15375
9	147	14610	10	153	13811	163	13448
12	180	13682
13	191	13509
14	200	13134
15	209	12908
16	226	13069
17	237	12975
18	242	12534
19	254	12464
20	261	12190
21	271	12081
22	288	12252
23	301	12260
24	314	12255
25	323	12117
26	338	12204
27	346	12028
28	360	12082
29	368	11909
30	378	11828
31	394	11923
32	403	11824
33	411	11701
34	420	11586
35	427	11459
36	449	11696
37	465	11784
38	484	11947
39	500	12020
40	512	11976
41	521	11885
42	531	11827
43	588	12779
44	604	12833
45	615	12768
46	621	12605
47	634	12586
48	639	12403
49	652	12393
50	665	12380
51	687	12536
52	701	12532
53	712	12475
54	720	12382
55	725	12228
56	733	12133
57	739	12003
58	756	12063
59	767	12026
60	798	12293
61	817	12366
62	827	12301
63	840	12285
64	853	12271
65	871	12332
66	888	12369
67	897	12307
68	910	12286
69	926	12310
70	936	12257
71	951	12270
72	967	12286
73	990	12395
74	1006	12408
75	1019	12400
76	1034	12404
77	1045	12354
78	1055	12306
79	1073	12346
80	1089	12356
81	1098	12302
82	1105	12218
83	1119	12205
84	1136	12229
85	1152	12252
86	1163	12214
87	1168	12110
88	1180	12083
89	1194	12079
90	1208	12070
91	1218	12021
92	1237	12073
93	1246	12013
94	1259	12001
95	1274	12005
96	1292	12035
97	1306	12022
98	1322	12037
99	1335	12019
100	1342	11952
101	1352	11905
102	1365	11888
103	1378	11876
104	1394	11884
105	1407	11868
106	1422	11873
107	1434	11846
108	1447	11829
109	1453	11762
110	1464	11732
111	1476	11705
112	1482	11639
113	1500	11664
114	1516	11671
115	1535	11705
116	1543	11650
117	1556	11636
118	1569	11616
119	1585	11628
120	1588	11540
121	1592	11463
122	1596	11381
123	1602	11320
124	1615	11305
125	1626	11282
126	1638	11263
127	1656	11287
128	1661	11215
129	1671	11188
130	1685	11183
131	1695	11146
132	1707	11128
133	1725	11153
134	1732	11099
135	1748	11105
136	1761	11098
137	1771	11066
138	1782	11038
139	1792	11008
140	1798	10957
141	1806	10916
142	1814	10871
143	1827	10865
144	1836	10830
145	1847	10806
146	1857	10781
147	1867	10752
148	1882	10754
149	1891	10720
150	1903	10701
151	1907	10642
152	1918	10618
153	1924	10573
154	1935	10553
155	1941	10505
156	1950	10473
157	1957	10430
158	1964	10393
159	1974	10365
160	1982	10331
161	1990	10296
162	2000	10273
163	2004	10219
164	2018	10216
165	2030	10200
166	2039	10175
167	2054	10175
168	2059	10127
169	2090	10204
170	2100	10185
171	2121	10212
172	2133	10199
173	2146	10187
174	2159	10178
175	2164	10135
176	2176	10120
177	2191	10118
178	2198	10082
179	2212	10077
180	2219	10044
181	2222	9988
182	2224	9932
183	2227	9877
184	2246	9896
185	2253	9863
186	2258	9817
187	2271	9812
188	2294	9845
189	2309	9843
190	2314	9802
191	2328	9799
192	2339	9782
193	2355	9785
194	2364	9763
195	2375	9742
196	2388	9735
197	2399	9719
198	2413	9712
199	2419	9678
200	2425	9643
201	2435	9619
202	2442	9588
203	2455	9580
204	2476	9605
205	2483	9572
206	2513	9630
207	2528	9626
208	2541	9619
209	2551	9599
210	2561	9576
211	2566	9539
212	2573	9508
213	2582	9484
214	2594	9471
215	2606	9459
216	2613	9429
217	2623	9409
218	2628	9372
219	2635	9342
220	2655	9361
221	2668	9351
222	2676	9325
223	2691	9322
224	2701	9303
225	2705	9264
226	2722	9270
227	2727	9235
228	2737	9215
229	2744	9188
230	2757	9179
231	2766	9157
232	2779	9150
233	2784	9115
234	2795	9099
235	2805	9081
236	2815	9063
237	2822	9037
238	2829	9010
239	2844	9006
240	2850	8977
241	2860	8959
242	2868	8936
243	2884	8938
244	2902	8943
245	2908	8914
246	2911	8876
247	2918	8850
248	2923	8817
249	2938	8814
250	2956	8822
251	2980	8846
252	2993	8837
253	2998	8807
254	3012	8801
255	3025	8793
256	3033	8769
257	3045	8758
258	3052	8734
259	3057	8702
260	3064	8677
261	3074	8659
262	3087	8650
263	3095	8629
264	3104	8610
265	3113	8590
266	3120	8567
267	3128	8545
268	3132	8513
269	3139	8488
270	3148	8469
271	3156	8448
272	3161	8418
273	3167	8391
274	3171	8361
275	3178	8338
276	3188	8323
277	3197	8304
278	3209	8293
279	3220	8280
280	3248	8313
281	3261	8304
282	3273	8293
283	3282	8275
284	3297	8273
285	3312	8268
286	3327	8266
287	3358	8303
288	3372	8296
289	3378	8271
290	3390	8259
291	3399	8242
292	3403	8213
293	3418	8208
294	3431	8200
295	3444	8191
296	3450	8167
297	3458	8147
298	3463	8119
299	3471	8100
300	3478	8078
301	3481	8046
302	3483	8014
303	3486	7981
304	3488	7949
305	3498	7933
306	3509	7923
307	3523	7916
308	3534	7903
